year,medical_rptsrc,type,n_mean,n_min,n_max,pop,rate_mean,rate_min,rate_max
2010,All others,Neglect,152163,151948,152349,3951430,38.5083374879474,38.45392680624483,38.55540905444358
2010,All others,Other,51280,51183,51376,3951430,12.977580268409158,12.953032193408463,13.001875270471702
2010,All others,Physical abuse,31231.9,31169,31295,3951430,7.903948697053978,7.888030409244249,7.919917599451338
2010,All others,Sexual abuse,3482.8,3457,3503,3951430,0.8814024289940604,0.8748731471897516,0.8865145023447207
2010,Medical professionals,Neglect,39465.2,39450,39479,3951430,9.987574118736761,9.983727410076858,9.991066525283253
2010,Medical professionals,Other,6053.4,6021,6090,3951430,1.5319517238063183,1.5237521606102096,1.5412141933426633
2010,Medical professionals,Physical abuse,12968.9,12962,12982,3951430,3.2820776275930488,3.280331424319803,3.2853928830828334
2010,Medical professionals,Sexual abuse,510.3,506,515,3951430,0.1291431203387128,0.12805490670466135,0.13033256314802488
2011,All others,Neglect,149166.5,149017,149545,3963092,37.63891930845915,37.601196237685116,37.734425544499096
2011,All others,Other,52121.6,52026,52201,3963092,13.151751208399906,13.127628629363134,13.171786070068523
2011,All others,Physical abuse,31800.3,31757,31915,3963092,8.0241134952204,8.013187682748722,8.053055543499873
2011,All others,Sexual abuse,3502,3473,3551,3963092,0.8836534705729768,0.8763359518275124,0.8960175539704857
2011,Medical professionals,Neglect,43884.8,43849,43937,3963092,11.073374022101936,11.064340671374776,11.08654555584377
2011,Medical professionals,Other,6419.4,6394,6442,3963092,1.6197958563666954,1.6133867192585991,1.6254984744235057
2011,Medical professionals,Physical abuse,12818.7,12811,12825,3963092,3.234519915258087,3.2325769878670494,3.2361095831234805
2011,Medical professionals,Sexual abuse,528.9,520,541,3963092,0.13345640222331454,0.13121068095315477,0.1365095738378014
2012,All others,Neglect,150433.5,149959,150726,3926570,38.31168169674805,38.19083831435579,38.38617419274328
2012,All others,Other,56186.2,56062,56328,3926570,14.30923172132421,14.277601061486234,14.345344664681898
2012,All others,Physical abuse,34179.4,34081,34286,3926570,8.704645530322903,8.679585490644506,8.731793906641165
2012,All others,Sexual abuse,3341.5,3314,3373,3926570,0.8509971807455362,0.8439936127459844,0.8590194495450227
2012,Medical professionals,Neglect,46350.2,46333,46383,3926570,11.804246454284527,11.79986604084481,11.812599800843994
2012,Medical professionals,Other,7556.7,7539,7594,3926570,1.9245040837168317,1.91999633267712,1.9340034686762237
2012,Medical professionals,Physical abuse,13623,13613,13634,3926570,3.4694402493779557,3.466893497378119,3.4722416765777764
2012,Medical professionals,Sexual abuse,502.4,493,520,3926570,0.12794882047181128,0.1255548735919645,0.13243110399152438
2013,All others,Neglect,155541.2,155349,155869,3931258,39.56524857946235,39.516358376885975,39.64863155763371
2013,All others,Other,56350.9,56267,56486,3931258,14.334063040380459,14.312721271409814,14.368428630224727
2013,All others,Physical abuse,35079.7,35003,35167,3931258,8.923275958993278,8.903765664832987,8.945482591068814
2013,All others,Sexual abuse,3256.9,3240,3275,3931258,0.8284625430332987,0.8241636646589972,0.8330666672093259
2013,Medical professionals,Neglect,49118.1,49078,49183,3931258,12.494244844779967,12.484044547572303,12.51075355522329
2013,Medical professionals,Other,6963,6924,7000,3931258,1.77118876451253,1.7612682759564495,1.7806005100657347
2013,Medical professionals,Physical abuse,14083.9,14075,14096,3931258,3.582542789102114,3.5802788827393166,3.5856206842695135
2013,Medical professionals,Sexual abuse,530.6,518,548,3931258,0.13496951866298268,0.13176443774486438,0.13939558278800324
2014,All others,Neglect,154083.4,153749,154474,3954787,38.96123862043645,38.8766828656006,39.06000500153359
2014,All others,Other,52926.2,52770,53167,3954787,13.382819352850102,13.343322914735989,13.443707587791707
2014,All others,Physical abuse,33894.5,33804,34007,3954787,8.570499498455922,8.547615838729115,8.59894603679035
2014,All others,Sexual abuse,3148.4,3131,3167,3954787,0.7960985003743565,0.7916987691119648,0.8008016613789819
2014,Medical professionals,Neglect,54214.1,54155,54310,3954787,13.708475323702642,13.693531408897622,13.732724417269502
2014,Medical professionals,Other,7701.6,7652,7750,3954787,1.947412085657205,1.9348703229782034,1.9596504185939723
2014,Medical professionals,Physical abuse,14105.7,14091,14121,3954787,3.5667407625239997,3.5630237481816343,3.5706094917374815
2014,Medical professionals,Sexual abuse,507.3,498,522,3954787,0.1282749235293835,0.12592334302707073,0.13199193787174884
2015,All others,Neglect,160819.5,160667,161177,3983981,40.36653287252123,40.32825457751932,40.456267236214224
2015,All others,Other,53371.9,53332,53448,3983981,13.396625134507419,13.38661002650364,13.415726631226404
2015,All others,Physical abuse,37214.8,37186,37256,3983981,9.341108805488782,9.333879855350716,9.351450220269625
2015,All others,Sexual abuse,3366.6,3338,3391,3983981,0.845034150514272,0.8378554014188321,0.8511586777145774
2015,Medical professionals,Neglect,57748.7,57718,57786,3983981,14.495224751322858,14.487518891279853,14.504587245772507
2015,Medical professionals,Other,7660.5,7640,7695,3983981,1.9228254351614629,1.9176798282923537,1.9314851150143537
2015,Medical professionals,Physical abuse,14919.9,14916,14925,3983981,3.744972679337577,3.743993759006381,3.7462528059245264
2015,Medical professionals,Sexual abuse,490.7,485,495,3983981,0.12316825808155209,0.12173752836672665,0.12424758049799935
2016,All others,Neglect,160303.1,160063,160636,3954773,40.534083751456784,40.47337230227879,40.61826051710174
2016,All others,Other,55207,55135,55253,3954773,13.959587566720012,13.941381717737023,13.971219081348032
2016,All others,Physical abuse,43272.5,43146,43489,3954773,10.941841668282857,10.909855003055801,10.99658564473865
2016,All others,Sexual abuse,3416.8,3396,3447,3954773,0.8639686778482608,0.8587092103642864,0.8716050200605698
2016,Medical professionals,Neglect,62298.2,62278,62319,3954773,15.752661404333447,15.747553652257665,15.757920871817422
2016,Medical professionals,Other,8358.4,8335,8373,3954773,2.1134967797140316,2.1075798787945605,2.11718852131336
2016,Medical professionals,Physical abuse,17172.6,17150,17200,3954773,4.342246697850926,4.336532084142377,4.349175034825008
2016,Medical professionals,Sexual abuse,566.6,557,578,3954773,0.14326991713557263,0.1408424706045075,0.14615250989121245
2017,All others,Neglect,159683.9,159516,159873,3893990,41.007783789891604,40.964666062316546,41.05634580468876
2017,All others,Other,53658.4,53614,53723,3893990,13.779799126345985,13.768396939899691,13.796388794013339
2017,All others,Physical abuse,43880.2,43764,44036,3893990,11.268698686950914,11.238857829629762,11.308709061913358
2017,All others,Sexual abuse,3452.6,3424,3477,3893990,0.8866483991997924,0.8793037475699732,0.8929144656252328
2017,Medical professionals,Neglect,66448.7,66424,66492,3893990,17.064424921481564,17.058081813255814,17.07554462132671
2017,Medical professionals,Other,8433.7,8413,8472,3893990,2.1658247709932485,2.160508886771666,2.175660440833181
2017,Medical professionals,Physical abuse,18024.6,18010,18049,3893990,4.628825446393031,4.625076078777808,4.635091512818471
2017,Medical professionals,Sexual abuse,502.5,496,512,3893990,0.12904501552392278,0.12737577651714566,0.13148467253382778
2018,All others,Neglect,155053.7,154806,155244,3815343,40.63951786248314,40.57459578339352,40.689395422639585
2018,All others,Other,53105,53054,53135,3815343,13.918801009502946,13.90543392822087,13.926663998492403
2018,All others,Physical abuse,34998.4,34895,35098,3815343,9.173067794953168,9.145966692902839,9.199172918398162
2018,All others,Sexual abuse,3514.1,3500,3537,3815343,0.9210443202616383,0.9173487154365938,0.9270464018569234
